ID;collection;kingdom;phylum;class;order;family;genus;host;compartment
LjRoot201;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot202;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Lotus japonicus;Root
LjRoot203;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot204;LjSPHERE;NA;NA;NA;NA;NA;NA;Lotus japonicus;Root
LjRoot205;LjSPHERE;NA;NA;NA;NA;NA;NA;Lotus japonicus;Root
LjRoot206;LjSPHERE;NA;NA;NA;NA;NA;NA;Lotus japonicus;Root
LjRoot207;LjSPHERE;NA;NA;NA;NA;NA;NA;Lotus japonicus;Root
LjRoot208;LjSPHERE;NA;NA;NA;NA;NA;NA;Lotus japonicus;Root
LjRoot21;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot219;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Lotus japonicus;Root
LjRoot22;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot220;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Lotus japonicus;Root
LjRoot221;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot222;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Lotus japonicus;Root
LjRoot223;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot224;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot225;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Lotus japonicus;Root
LjRoot226;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Lotus japonicus;Root
LjRoot227;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Lotus japonicus;Root
LjRoot228;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;Lotus japonicus;Root
LjRoot229;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Lotus japonicus;Root
LjRoot23;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot230;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot231;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium;Lotus japonicus;Root
LjRoot232;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot233;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot234;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;Lotus japonicus;Root
LjRoot235;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot236;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
